question_id,permutation_idx,model,predicted_answer,correct_position,original_correct,is_correct,raw_response,question,option_A,option_B,option_C,option_D
2012_q1,0,mistral-small3.2:24b,A,A,A,1,A. (1) and (2) only,A bus company provides an online service for passengers to find bus routes. What information should passengers input? (1) Starting point (2) Destination (3) Number of bus stops (4) Bus fare,(1) and (2) only,(1) and (4) only,(2) and (3) only,"(1), (3) and (4) only"
2012_q1,1,mistral-small3.2:24b,D,D,A,1,D,A bus company provides an online service for passengers to find bus routes. What information should passengers input? (1) Starting point (2) Destination (3) Number of bus stops (4) Bus fare,(1) and (4) only,(2) and (3) only,"(1), (3) and (4) only",(1) and (2) only
2012_q1,2,mistral-small3.2:24b,C,C,A,1,C. (1) and (2) only,A bus company provides an online service for passengers to find bus routes. What information should passengers input? (1) Starting point (2) Destination (3) Number of bus stops (4) Bus fare,(2) and (3) only,"(1), (3) and (4) only",(1) and (2) only,(1) and (4) only
2012_q1,3,mistral-small3.2:24b,B,B,A,1,B. (1) and (2) only,A bus company provides an online service for passengers to find bus routes. What information should passengers input? (1) Starting point (2) Destination (3) Number of bus stops (4) Bus fare,"(1), (3) and (4) only",(1) and (2) only,(1) and (4) only,(2) and (3) only
2012_q2,0,mistral-small3.2:24b,C,C,C,1,C,What are the 8-bit one's complement and 8-bit two's complement of the binary number 10110 ?,00001001 00001010,01001111 01010000,11101001 11101010,11110110 11110111
2012_q2,1,mistral-small3.2:24b,B,B,C,1,B. 11101001 11101010,What are the 8-bit one's complement and 8-bit two's complement of the binary number 10110 ?,01001111 01010000,11101001 11101010,11110110 11110111,00001001 00001010
2012_q2,2,mistral-small3.2:24b,B,A,C,0,B,What are the 8-bit one's complement and 8-bit two's complement of the binary number 10110 ?,11101001 11101010,11110110 11110111,00001001 00001010,01001111 01010000
2012_q2,3,mistral-small3.2:24b,D,D,C,1,D,What are the 8-bit one's complement and 8-bit two's complement of the binary number 10110 ?,11110110 11110111,00001001 00001010,01001111 01010000,11101001 11101010
2012_q3,0,mistral-small3.2:24b,C,C,C,1,C. (1) and (2) only,Which of the following actions involve converting data between digital and analog forms? (1) Playing mp3 music (2) Recording videos using a webcam (3) Copying a text file,(2) and (3) only,(1) and (3) only,(1) and (2) only,"(1), (2) and (3)"
2012_q3,1,mistral-small3.2:24b,B,B,C,1,B,Which of the following actions involve converting data between digital and analog forms? (1) Playing mp3 music (2) Recording videos using a webcam (3) Copying a text file,(1) and (3) only,(1) and (2) only,"(1), (2) and (3)",(2) and (3) only
2012_q3,2,mistral-small3.2:24b,A,A,C,1,A. (1) and (2) only,Which of the following actions involve converting data between digital and analog forms? (1) Playing mp3 music (2) Recording videos using a webcam (3) Copying a text file,(1) and (2) only,"(1), (2) and (3)",(2) and (3) only,(1) and (3) only
2012_q3,3,mistral-small3.2:24b,D,D,C,1,D. (1) and (2) only,Which of the following actions involve converting data between digital and analog forms? (1) Playing mp3 music (2) Recording videos using a webcam (3) Copying a text file,"(1), (2) and (3)",(2) and (3) only,(1) and (3) only,(1) and (2) only
2012_q4,0,mistral-small3.2:24b,B,B,B,1,B,Peter configures the colour quality of a display unit. Which of the following pixels are involved? (1) Black (2) White (3) Green (4) Red (5) Blue,"(1), (3) and (5) only","(3), (4) and (5) only","(1), (2), (3) and (4) only","(2), (3), (4) and (5) only"
2012_q4,1,mistral-small3.2:24b,C,A,B,0,C,Peter configures the colour quality of a display unit. Which of the following pixels are involved? (1) Black (2) White (3) Green (4) Red (5) Blue,"(3), (4) and (5) only","(1), (2), (3) and (4) only","(2), (3), (4) and (5) only","(1), (3) and (5) only"
2012_q4,2,mistral-small3.2:24b,D,D,B,1,D,Peter configures the colour quality of a display unit. Which of the following pixels are involved? (1) Black (2) White (3) Green (4) Red (5) Blue,"(1), (2), (3) and (4) only","(2), (3), (4) and (5) only","(1), (3) and (5) only","(3), (4) and (5) only"
2012_q4,3,mistral-small3.2:24b,C,C,B,1,C,Peter configures the colour quality of a display unit. Which of the following pixels are involved? (1) Black (2) White (3) Green (4) Red (5) Blue,"(2), (3), (4) and (5) only","(1), (3) and (5) only","(3), (4) and (5) only","(1), (2), (3) and (4) only"
