question_id,permutation_idx,model,predicted_answer,correct_position,original_correct,is_correct,prob_A,prob_B,prob_C,prob_D,sample_count_A,sample_count_B,sample_count_C,sample_count_D,total_valid_samples,question,is_correct_fixed,debiased_predicted_answer,debiased_is_correct
2012_q2,0,llama3:8b-instruct-q8_0,D,C,C,0,0.0,0.0,0.28,0.72,0,0,7,18,25,What are the 8-bit one's complement and 8-bit two's complement of the binary number 10110 ?,0,D,0
2012_q2,1,llama3:8b-instruct-q8_0,C,B,C,0,0.0,0.24,0.76,0.0,0,6,19,0,25,What are the 8-bit one's complement and 8-bit two's complement of the binary number 10110 ?,0,C,0
2012_q2,2,llama3:8b-instruct-q8_0,B,A,C,0,0.36,0.64,0.0,0.0,9,16,0,0,25,What are the 8-bit one's complement and 8-bit two's complement of the binary number 10110 ?,0,B,0
2012_q2,3,llama3:8b-instruct-q8_0,A,D,C,0,0.68,0.0,0.0,0.32,17,0,0,8,25,What are the 8-bit one's complement and 8-bit two's complement of the binary number 10110 ?,0,A,0
2012_q3,0,llama3:8b-instruct-q8_0,C,C,C,1,0.36,0.12,0.52,0.0,9,3,13,0,25,Which of the following actions involve converting data between digital and analog forms? (1) Playing mp3 music (2) Recording videos using a webcam (3) Copying a text file,1,C,1
2012_q3,1,llama3:8b-instruct-q8_0,A,B,C,0,0.52,0.48,0.0,0.0,13,12,0,0,25,Which of the following actions involve converting data between digital and analog forms? (1) Playing mp3 music (2) Recording videos using a webcam (3) Copying a text file,0,B,1
2012_q3,2,llama3:8b-instruct-q8_0,A,A,C,1,0.76,0.0,0.0,0.24,19,0,0,6,25,Which of the following actions involve converting data between digital and analog forms? (1) Playing mp3 music (2) Recording videos using a webcam (3) Copying a text file,1,A,1
2012_q3,3,llama3:8b-instruct-q8_0,D,D,C,1,0.0,0.44,0.0,0.56,0,11,0,14,25,Which of the following actions involve converting data between digital and analog forms? (1) Playing mp3 music (2) Recording videos using a webcam (3) Copying a text file,1,D,1
2012_q4,0,llama3:8b-instruct-q8_0,B,B,B,1,0.0,1.0,0.0,0.0,0,25,0,0,25,Peter configures the colour quality of a display unit. Which of the following pixels are involved? (1) Black (2) White (3) Green (4) Red (5) Blue,1,B,1
2012_q4,1,llama3:8b-instruct-q8_0,B,A,B,0,0.0,0.64,0.36,0.0,0,16,9,0,25,Peter configures the colour quality of a display unit. Which of the following pixels are involved? (1) Black (2) White (3) Green (4) Red (5) Blue,0,B,0
2012_q4,2,llama3:8b-instruct-q8_0,B,D,B,0,0.0,1.0,0.0,0.0,0,25,0,0,25,Peter configures the colour quality of a display unit. Which of the following pixels are involved? (1) Black (2) White (3) Green (4) Red (5) Blue,0,B,0
2012_q4,3,llama3:8b-instruct-q8_0,B,C,B,0,0.0,0.52,0.48,0.0,0,13,12,0,25,Peter configures the colour quality of a display unit. Which of the following pixels are involved? (1) Black (2) White (3) Green (4) Red (5) Blue,0,C,1
2012_q6,0,llama3:8b-instruct-q8_0,C,C,C,1,0.0,0.48,0.52,0.0,0,12,13,0,25,Which of the following statements about clicking a hyperlink in a presentation file is correct?,1,C,1
2012_q6,1,llama3:8b-instruct-q8_0,B,B,C,1,0.0,1.0,0.0,0.0,0,25,0,0,25,Which of the following statements about clicking a hyperlink in a presentation file is correct?,1,B,1
2012_q6,2,llama3:8b-instruct-q8_0,A,A,C,1,0.8,0.2,0.0,0.0,20,5,0,0,25,Which of the following statements about clicking a hyperlink in a presentation file is correct?,1,A,1
2012_q6,3,llama3:8b-instruct-q8_0,D,D,C,1,0.0,0.0,0.0,1.0,0,0,0,25,25,Which of the following statements about clicking a hyperlink in a presentation file is correct?,1,D,1
2012_q9,0,llama3:8b-instruct-q8_0,A,A,A,1,0.96,0.0,0.04,0.0,24,0,1,0,25,Assume that every household has a residential telephone number. In which of the following database applications could the residential telephone number be used as a key field?,1,A,1
2012_q9,1,llama3:8b-instruct-q8_0,D,D,A,1,0.0,0.0,0.0,1.0,0,0,0,25,25,Assume that every household has a residential telephone number. In which of the following database applications could the residential telephone number be used as a key field?,1,D,1
