id,question,option_a,option_b,option_c,option_d,answer
q1,Which of the following activities involve(s) the conversion of analog to digital data or vice versa? (1) Talking to a friend on a mobile phone (2) Listening to a radio programme over the Internet (3) Copying a file from a DVD-R to a hard disk,(2) only,(3) only,(1) and (2) only,(1) and (3) only,C
q2,A computer system uses the Hong Kong identity card (HKID) number as a key field for managing accounts. Its check digit is used to detect input errors made by users. Which of the following input errors can usually be found by the check digit? (1) Use another person's HKID number. (2) Swap two digits in the HKID number. (3) Input a wrong digit in the HKID number.,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",C
q3,Increment the following numbers using 8-bit two's complement representation by 1. Which one will create an overflow error?,01111111,10000000,10000001,11111111,A
q4,"In a computer system, 10 bits are reserved for user identity codes and 54 bits are reserved for alias names. What is the maximum number of user accounts in the system?",64,1024,10^10,10^54,B
q5,Mr Lee wants to set up a cleaning service company to serve thousands of clients. He needs to process data about the service and create a monthly report for each client. Which software should he buy?,Word processing software,Spreadsheet software,Presentation software,Database software,D
q6,,,,,,A
q7,,,,,,C
q8,"Only one record is retrieved after executing the following SQL command. Why? SELECT NAME, PHONE FROM EMPLOYEE (1) There is only one record in EMPLOYEE. (2) The content of NAME or PHONE in the remaining records is empty. (3) There may be some other fields in EMPLOYEE.",(1) only,(1) and (2) only,(1) and (3) only,(2) and (3) only,A
q9,,,,,,D
q10,John uses his notebook computer to create a web-based presentation through a web site. He does not use the pre-installed presentation software to do so. Why? (1) He can add more slides in the presentation. (2) He can edit the presentation in other computers without presentation software. (3) He can add video clips in the presentation.,(1) only,(2) only,(1) and (3) only,(2) and (3) only,B
q11,"When creating a database table, what should be defined? (1) Data type (2) Field name (3) Number of records",(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A
q12,Which of the following is/are the best practice when using online banking systems? (1) Create an uncommon login name. (2) Use a combination of letters and numbers for the passwords and change them regularly. (3) Avoid using wired network when wireless network is available.,(1) only,(1) and (2) only,(1) and (3) only,(2) and (3) only,B
q13,"In 2012, the US Government launched a project to explore how 'big data' could be used. 'Big data' refers to the huge amount of data collected which is difficult to process using database management systems. Which of the following are examples of 'big data'? (1) Human DNA (2) User behaviour in a social networking web site (3) The total number of government officials in the US",(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A
q14,The following QR code is printed on an advertisement so that readers can scan the code and browse product information online through smart phones. What information is encoded in the QR code?,URL,Telephone number of the company,Type of smart phone supported,Name of the product in binary codes,A
q15,"A WAV file, which is a common audio file, consists of a header. Which of the following items is stored in the header?",Compression ratio,Type of instrument used,Sampling rate,Type of audio player supported,C
q16,Mary converts the file animal.bmp to animal.jpg. Why? (1) She wants to create a web page with this image. (2) She wants to store the image in DVD-R. (3) She wants to increase the resolution of the image.,(1) only,(2) only,(1) and (3) only,(2) and (3) only,A
q17,A quad-core processor is generally better than a dual-core processor because,more main memory is provided.,the motherboard can be smaller.,more instructions can be executed at the same time.,a graphics processing unit (GPU) can be installed.,C
q18,Mary connects a new USB flash drive to a computer. She does not need to install a driver program for the flash drive. Why not?,A USB flash drive does not require a driver program.,The flash drive uses the same driver program as the hard disk.,The computer does not connect to the Internet.,The operating system in the computer has the driver program for the flash drive already.,D
q19,,,,,,A
q20,A car is equipped with a global positioning system (GPS) such that the driver can get the location and time information when driving. Which of the following best describes the mode of operation of the system?,Batch processing,Real-time processing,Distributed processing,Interactive processing,B
q21,Which of the following classifications is correct? (Computer hardware; System software),Modem; PDF writer,Touch screen; RAM,Word processor; Spreadsheet,ROM; Utility program,D
q22,"Joseph installs network-attached storage (NAS) in the office network that operates as a file server. If he installs more cache memory in the NAS, which of the following can be greatly improved?",Storage capacity,Flexibility of users' access rights,Network bandwidth,Data throughput,D
q23,"When browsing a web page, which of the following will be involved? (1) IP (2) URL (3) FTP",(1) only,(1) and (2) only,(2) and (3) only,"(1), (2) and (3)",B
q24,"In an email application, the settings of X and Y are used for receiving email and sending email respectively.",X:IMAP Y:POP,X:IMAP Y:SMTP,X:SMTP Y:IMAP,X:SMTP Y:POP,B
q25,Mary has a wireless network with Internet access at home. She finds that the file transfer rate between a notebook computer and a desktop computer through the network is very low. What is the possible reason for this?,No wireless router is installed.,The Internet connection is disconnected.,The communication protocols used by the two computers are different.,There is a thick wall between the computers and the wireless router.,D
q26,A proxy server in a school network can ______. (1) increase the bandwidth of the Internet connection (2) filter web sites (3) store web pages for caching,(1) only,(2) only,(1) and (3) only,(2) and (3) only,D
q27,What is/are the advantage(s) of using tablet computers in e-learning? (1) Students can easily carry tablet computers and access a Wi-Fi network. (2) Tablet computers can store a large amount of learning materials so that online resources will not be necessary. (3) Tablet computers have a high processing power.,(1) only,(2) only,(3) only,(2) and (3) only,A
q28,Peter can use the following two methods to download files. He chooses Method 1. Why? Method 1: Direct download through HTTP Method 2: Download using Peer-to-Peer (P2P) file sharing technology,HTTP is a secure channel.,No dedicated software is required.,The data transfer rate is higher.,It is illegal to use Method 2.,B
